timestamp,esp1_vib,esp2_vib,esp1_x,esp1_y,esp1_z,esp2_x,esp2_y,esp2_z,Output
2025-09-14 14:59:19,1,0,1571,1341,1373,1863,1567,1401,1
2025-09-14 14:59:20,1,1,1577,1321,1384,1825,1530,1409,1
2025-09-14 14:59:21,1,0,1685,1314,1423,1841,1557,1392,1
2025-09-14 14:59:23,1,1,1520,1351,1376,1865,1535,1410,1
2025-09-14 14:59:24,1,1,1592,1317,1424,1904,1535,1380,1
2025-09-14 14:59:25,1,1,1572,1301,1446,1847,1523,1407,1
2025-09-14 14:59:27,1,0,1594,1330,1329,1855,1531,1403,1
2025-09-14 14:59:28,1,0,1639,1323,1389,1859,1557,1399,1
2025-09-14 14:59:29,0,0,1642,1318,1416,1845,1530,1392,1
2025-09-14 14:59:30,0,0,1581,1299,1411,1872,1535,1405,1
2025-09-14 14:59:32,0,1,1616,1334,1409,1840,1521,1419,1
2025-09-14 14:59:33,0,0,1606,1314,1397,1839,1535,1385,1
2025-09-14 14:59:34,0,0,1599,1305,1420,1915,1494,1418,1
2025-09-14 14:59:36,0,0,1584,1302,1386,1839,1521,1395,1
2025-09-14 14:59:37,0,0,1610,1328,1392,1809,1535,1386,1
2025-09-14 14:59:38,0,1,1530,1317,1448,1863,1518,1405,1
2025-09-14 14:59:39,0,1,1597,1295,1424,1811,1530,1397,1
2025-09-14 14:59:41,1,0,1689,1347,1299,1855,1513,1423,1
2025-09-14 14:59:42,1,0,1584,1327,1401,1833,1522,1392,1
2025-09-14 14:59:43,1,0,1593,1328,1404,1829,1525,1390,1
2025-09-14 14:59:45,1,1,1570,1308,1378,1852,1535,1408,1
2025-09-14 14:59:46,1,0,1567,1305,1389,1829,1521,1392,1
2025-09-14 14:59:47,1,1,1584,1338,1408,1825,1520,1393,1
2025-09-14 14:59:49,1,0,1587,1325,1407,1829,1525,1391,1
2025-09-14 14:59:50,1,1,1535,1310,1409,1858,1535,1411,1
2025-09-14 14:59:51,1,1,1568,1262,1467,1887,1534,1419,1
2025-09-14 14:59:53,1,1,1590,1313,1392,1856,1535,1409,1
2025-09-14 14:59:54,1,0,1606,1330,1406,1840,1523,1395,1
2025-09-14 14:59:55,1,1,1586,1311,1386,1860,1535,1410,1
2025-09-14 14:59:56,1,1,1609,1326,1409,1855,1535,1410,1
2025-09-14 14:59:58,1,0,1600,1318,1395,1840,1522,1394,1
2025-09-14 14:59:59,1,0,1584,1303,1394,1843,1526,1399,1
2025-09-14 15:00:00,1,0,1601,1319,1406,1848,1531,1403,1
2025-09-14 15:00:02,0,0,1609,1328,1403,1847,1534,1397,1
2025-09-14 15:00:03,1,1,1602,1328,1389,1840,1509,1408,1
2025-09-14 15:00:04,1,1,1602,1328,1389,1827,1520,1394,1
2025-09-14 15:00:05,1,0,1634,1328,1392,1844,1520,1383,1
2025-09-14 15:00:07,1,0,1637,1318,1371,1817,1535,1388,1
2025-09-14 15:00:08,1,1,1515,1317,1379,1854,1535,1413,1
2025-09-14 15:00:09,1,0,1583,1311,1396,1813,1559,1385,1
2025-09-14 15:00:11,1,0,1577,1303,1393,1815,1525,1391,1
2025-09-14 15:00:12,1,1,1585,1325,1401,1841,1535,1407,1
2025-09-14 15:00:13,1,1,1580,1306,1386,1841,1535,1407,1
2025-09-14 15:00:14,1,1,1596,1326,1397,1856,1535,1411,1
2025-09-14 15:00:16,1,1,1593,1323,1399,1847,1535,1407,1
2025-09-14 15:00:17,1,0,1573,1303,1392,1831,1526,1398,1
2025-09-14 15:00:19,1,0,1572,1310,1391,1834,1520,1393,1
2025-09-14 15:00:21,1,0,1583,1321,1408,1821,1516,1393,1
2025-09-14 15:00:22,1,1,1569,1315,1391,1842,1527,1415,1
2025-09-14 15:00:23,0,0,1570,1309,1387,1841,1535,1407,1
2025-09-14 15:00:24,1,1,1573,1315,1385,1924,1535,1425,1
2025-09-14 15:00:25,1,1,1630,1319,1403,1872,1535,1414,1
2025-09-14 15:00:26,1,0,1617,1323,1405,1876,1535,1419,1
2025-09-14 15:00:28,1,0,1607,1325,1405,1856,1535,1410,1
2025-09-14 15:00:29,1,0,1594,1313,1390,1841,1553,1398,1
2025-09-14 15:00:32,1,0,1588,1303,1383,1840,1525,1395,1
2025-09-14 15:00:34,1,0,1588,1303,1383,1840,1525,1395,1
2025-09-14 15:00:35,1,1,1594,1319,1392,1863,1535,1408,1
2025-09-14 15:00:37,1,1,1616,1296,1410,1858,1535,1424,1
2025-09-14 15:00:38,0,1,1608,1327,1406,1854,1535,1412,1
2025-09-14 15:00:39,1,1,1591,1310,1383,1852,1535,1411,1
2025-09-14 15:00:40,1,1,1595,1331,1406,1861,1535,1410,1
2025-09-14 15:00:42,1,0,1604,1302,1391,1723,1565,1348,1
2025-09-14 15:00:43,0,0,1589,1322,1410,1837,1521,1396,1
2025-09-14 15:00:44,0,1,1585,1325,1402,1826,1520,1392,1
2025-09-14 15:00:45,1,1,1559,1328,1414,1854,1535,1408,1
2025-09-14 15:00:46,1,1,1584,1313,1388,1633,1506,1391,1
2025-09-14 15:00:47,1,0,1693,1360,1318,1828,1520,1395,1
2025-09-14 15:00:49,1,1,1601,1322,1383,1845,1535,1403,1
2025-09-14 15:00:50,0,1,1511,1358,1306,1846,1535,1402,1
2025-09-14 15:00:51,1,1,1580,1319,1394,1773,1535,1389,1
2025-09-14 15:00:53,1,0,1617,1319,1395,1823,1529,1392,1
2025-09-14 15:00:54,1,0,1519,1313,1425,1836,1529,1394,1
